| Vec ID | Mean (Real) | Var (Real) | Stage 1 Error | Stage 2 MAE |
|--------|-------------|------------|---------------|-------------|
| 0      |      0.0321 |     0.7530 | (See Log)     |    1.879857 |
| 1      |     -0.0150 |     0.8826 | (See Log)     |    1.749687 |
| 2      |      0.0020 |     0.8592 | (See Log)     |    1.766918 |
| 3      |      0.0021 |     0.8576 | (See Log)     |    1.747835 |
| 4      |      0.0025 |     0.8791 | (See Log)     |    1.776800 |
| 5      |     -0.0051 |     0.8808 | (See Log)     |    1.753352 |
| 6      |     -0.0126 |     0.8773 | (See Log)     |    1.764206 |
| 7      |     -0.0185 |     0.8895 | (See Log)     |    1.755170 |
| 8      |     -0.0222 |     0.8646 | (See Log)     |    1.742429 |
| 9      |     -0.0238 |     0.8280 | (See Log)     |    1.762622 |
| 10     |     -0.0187 |     0.8195 | (See Log)     |    1.750311 |
| 11     |     -0.0127 |     0.8668 | (See Log)     |    1.720338 |
| 12     |     -0.0134 |     0.8054 | (See Log)     |    1.748513 |
| 13     |     -0.0107 |     0.8338 | (See Log)     |    1.767736 |
| 14     |     -0.0175 |     0.8490 | (See Log)     |    1.755419 |
| 15     |     -0.0287 |     0.8605 | (See Log)     |    1.722974 |
| 16     |     -0.0015 |     0.8367 | (See Log)     |    1.736544 |
| 17     |     -0.0006 |     0.8340 | (See Log)     |    1.738323 |
| 18     |     -0.0116 |     0.8308 | (See Log)     |    1.732219 |
| 19     |     -0.0172 |     0.8402 | (See Log)     |    1.753932 |
| 20     |     -0.0174 |     1.0342 | (See Log)     |    1.701096 |
| 21     |     -0.0288 |     1.1451 | (See Log)     |    1.666702 |
| 22     |     -0.0374 |     0.8436 | (See Log)     |    1.722978 |
| 23     |     -0.0350 |     0.8925 | (See Log)     |    1.703129 |
| 24     |     -0.0258 |     0.8915 | (See Log)     |    1.689600 |
| 25     |     -0.0184 |     0.8918 | (See Log)     |    1.708974 |
| 26     |     -0.0168 |     0.8863 | (See Log)     |    1.705070 |
| 27     |     -0.0170 |     0.8981 | (See Log)     |    1.737862 |
| 28     |     -0.0289 |     0.8164 | (See Log)     |    1.724116 |
| 29     |     -0.0083 |     0.9690 | (See Log)     |    1.693297 |
| 30     |      0.0200 |     1.2936 | (See Log)     |    1.634652 |
| 31     |      0.0200 |     1.1360 | (See Log)     |    1.675036 |
| 32     |      0.0208 |     1.4854 | (See Log)     |    1.606939 |
| 33     |     -0.0388 |     1.0584 | (See Log)     |    1.683508 |
| 34     |     -0.0110 |     1.0578 | (See Log)     |    1.678415 |
| 35     |     -0.0274 |     0.9204 | (See Log)     |    1.716848 |
| 36     |     -0.0051 |     1.0379 | (See Log)     |    1.698803 |
| 37     |     -0.0022 |     1.0311 | (See Log)     |    1.675973 |
| 38     |     -0.0218 |     0.8847 | (See Log)     |    1.738776 |
| 39     |     -0.0129 |     0.8777 | (See Log)     |    1.705343 |
| 40     |     -0.0002 |     0.9869 | (See Log)     |    1.717341 |
| 41     |     -0.0255 |     0.9473 | (See Log)     |    1.662226 |
| 42     |      0.0068 |     1.0838 | (See Log)     |    1.707109 |
| 43     |      0.0042 |     1.0033 | (See Log)     |    1.731274 |
| 44     |      0.0141 |     1.5918 | (See Log)     |    1.640154 |
| 45     |      0.0023 |     1.4067 | (See Log)     |    1.633538 |
| 46     |     -0.0111 |     1.0722 | (See Log)     |    1.696986 |
| 47     |     -0.0336 |     0.9536 | (See Log)     |    1.728310 |
| 48     |     -0.0262 |     1.0695 | (See Log)     |    1.652618 |
| 49     |     -0.0109 |     1.0312 | (See Log)     |    1.685172 |
| 50     |     -0.0133 |     1.3090 | (See Log)     |    1.650055 |
| 51     |     -0.0352 |     0.9323 | (See Log)     |    1.721986 |
| 52     |     -0.0068 |     0.9959 | (See Log)     |    1.724912 |
| 53     |     -0.0335 |     0.9994 | (See Log)     |    1.717260 |
| 54     |     -0.0175 |     0.9031 | (See Log)     |    1.752856 |
| 55     |     -0.0189 |     1.0665 | (See Log)     |    1.684160 |
| 56     |      0.0060 |     1.2652 | (See Log)     |    1.648222 |
| 57     |      0.0458 |     0.9347 | (See Log)     |    1.781642 |
| 58     |      0.0337 |     1.0550 | (See Log)     |    1.699325 |
| 59     |      0.0001 |     0.8684 | (See Log)     |    1.705498 |
| 60     |     -0.0162 |     0.9213 | (See Log)     |    1.728964 |
| 61     |     -0.0030 |     1.0087 | (See Log)     |    1.706433 |
| 62     |     -0.0254 |     1.0354 | (See Log)     |    1.687473 |
| 63     |     -0.0040 |     0.9599 | (See Log)     |    1.753662 |
| 64     |     -0.0025 |     1.2805 | (See Log)     |    1.637251 |
| 65     |     -0.0332 |     0.8926 | (See Log)     |    1.718909 |
| 66     |     -0.0103 |     0.9182 | (See Log)     |    1.728632 |
| 67     |     -0.0342 |     0.9296 | (See Log)     |    1.741100 |
| 68     |     -0.0092 |     1.0559 | (See Log)     |    1.719266 |
| 69     |      0.0160 |     0.8974 | (See Log)     |    1.789566 |
| 70     |      0.0418 |     0.9512 | (See Log)     |    1.755781 |
| 71     |      0.0486 |     0.9490 | (See Log)     |    1.784280 |
| 72     |      0.0133 |     1.1231 | (See Log)     |    1.653040 |
| 73     |     -0.0209 |     0.8558 | (See Log)     |    1.730082 |
| 74     |     -0.0130 |     0.9332 | (See Log)     |    1.735005 |
| 75     |     -0.0047 |     1.0610 | (See Log)     |    1.685348 |
| 76     |     -0.0100 |     1.1268 | (See Log)     |    1.665710 |
| 77     |     -0.0231 |     1.1740 | (See Log)     |    1.656702 |
| 78     |     -0.0126 |     1.2037 | (See Log)     |    1.640716 |
| 79     |     -0.0244 |     0.8681 | (See Log)     |    1.758263 |
| 80     |     -0.0175 |     0.8900 | (See Log)     |    1.768954 |
| 81     |     -0.0222 |     0.9135 | (See Log)     |    1.749658 |
| 82     |      0.0217 |     0.9694 | (See Log)     |    1.749982 |
| 83     |      0.0278 |     0.8978 | (See Log)     |    1.795948 |
| 84     |      0.0469 |     0.9542 | (See Log)     |    1.789204 |
| 85     |      0.0360 |     1.0049 | (See Log)     |    1.754958 |
| 86     |     -0.0108 |     0.9784 | (See Log)     |    1.664516 |
| 87     |     -0.0010 |     1.0743 | (See Log)     |    1.673157 |
| 88     |     -0.0082 |     0.9453 | (See Log)     |    1.738617 |
| 89     |      0.0331 |     1.0071 | (See Log)     |    1.764027 |
| 90     |      0.0329 |     1.0866 | (See Log)     |    1.761309 |
| 91     |      0.0029 |     1.2004 | (See Log)     |    1.672333 |
| 92     |      0.0057 |     1.2773 | (See Log)     |    1.639232 |
| 93     |     -0.0290 |     0.9772 | (See Log)     |    1.712881 |
| 94     |     -0.0071 |     0.9700 | (See Log)     |    1.724227 |
| 95     |     -0.0273 |     1.0738 | (See Log)     |    1.710622 |
| 96     |      0.0211 |     0.9479 | (See Log)     |    1.768684 |
| 97     |      0.0323 |     0.9516 | (See Log)     |    1.786413 |
| 98     |      0.0473 |     0.9463 | (See Log)     |    1.782845 |
| 99     |      0.0344 |     1.1689 | (See Log)     |    1.671783 |
| 100    |     -0.0123 |     1.1426 | (See Log)     |    1.677178 |
| 101    |     -0.0111 |     0.9687 | (See Log)     |    1.723652 |
| 102    |      0.0122 |     1.1507 | (See Log)     |    1.676879 |
| 103    |      0.0419 |     1.0179 | (See Log)     |    1.791573 |
| 104    |      0.0403 |     0.9983 | (See Log)     |    1.794129 |
| 105    |      0.0412 |     1.0253 | (See Log)     |    1.759628 |
| 106    |      0.0162 |     1.0570 | (See Log)     |    1.703853 |
| 107    |     -0.0259 |     0.9716 | (See Log)     |    1.695356 |
| 108    |     -0.0007 |     0.9378 | (See Log)     |    1.721115 |
| 109    |     -0.0179 |     1.0039 | (See Log)     |    1.683982 |
| 110    |      0.0126 |     1.3915 | (See Log)     |    1.641761 |
| 111    |      0.0325 |     0.9542 | (See Log)     |    1.783382 |
| 112    |      0.0511 |     0.9593 | (See Log)     |    1.788743 |
| 113    |      0.0207 |     1.0729 | (See Log)     |    1.670863 |
| 114    |      0.0057 |     1.2568 | (See Log)     |    1.657385 |
| 115    |     -0.0126 |     0.8877 | (See Log)     |    1.738399 |
| 116    |      0.0128 |     1.0907 | (See Log)     |    1.694114 |
| 117    |      0.0051 |     1.2523 | (See Log)     |    1.684744 |
| 118    |      0.0446 |     1.0271 | (See Log)     |    1.778989 |
| 119    |      0.0324 |     0.9889 | (See Log)     |    1.760916 |
| 120    |      0.0278 |     1.1204 | (See Log)     |    1.707800 |
| 121    |     -0.0286 |     0.9807 | (See Log)     |    1.690284 |
| 122    |     -0.0165 |     1.0056 | (See Log)     |    1.701028 |
| 123    |     -0.0129 |     1.1327 | (See Log)     |    1.646386 |
| 124    |     -0.0144 |     1.0709 | (See Log)     |    1.675510 |
| 125    |      0.0076 |     1.2115 | (See Log)     |    1.641744 |
| 126    |      0.0508 |     0.9785 | (See Log)     |    1.789881 |
| 127    |      0.0277 |     1.1181 | (See Log)     |    1.683277 |
| 128    |      0.0179 |     1.2328 | (See Log)     |    1.660676 |
| 129    |     -0.0221 |     0.9877 | (See Log)     |    1.697670 |
| 130    |      0.0152 |     1.1825 | (See Log)     |    1.673732 |
| 131    |      0.0417 |     1.5412 | (See Log)     |    1.624220 |
| 132    |      0.0426 |     1.0135 | (See Log)     |    1.785128 |
| 133    |      0.0330 |     0.9867 | (See Log)     |    1.749498 |
| 134    |      0.0346 |     1.0124 | (See Log)     |    1.740063 |
| 135    |     -0.0150 |     0.9245 | (See Log)     |    1.715583 |
| 136    |     -0.0237 |     0.9141 | (See Log)     |    1.722341 |
| 137    |      0.0322 |     0.9732 | (See Log)     |    1.722856 |
| 138    |     -0.0030 |     1.1649 | (See Log)     |    1.655929 |
| 139    |      0.0236 |     1.0153 | (See Log)     |    1.716965 |
| 140    |      0.0539 |     0.9572 | (See Log)     |    1.787580 |
