channel,c_output,golden,error
0,0.000000,-0.009290,0.009290
1,0.000000,0.016620,0.016620
2,3493980226494636700000000000000000.000000,-0.087977,3493980226494636700000000000000000.000000
3,0.000000,0.032029,0.032029
4,3411300068180825100000000000000000.000000,-0.031634,3411300068180825100000000000000000.000000
5,0.000000,-0.064791,0.064791
6,0.000000,0.033254,0.033254
7,0.000000,-0.009160,0.009160
8,0.000000,0.014719,0.014719
9,3410868336592124400000000000000000.000000,-0.008057,3410868336592124400000000000000000.000000
10,0.000000,0.016231,0.016231
11,0.000000,0.036273,0.036273
12,3411197628642574300000000000000000.000000,0.021953,3411197628642574300000000000000000.000000
13,-0.000000,0.000181,0.000181
14,0.000000,0.008918,0.008918
15,0.000000,-0.000202,0.000202
16,0.000000,-0.052339,0.052339
17,0.000000,0.046116,0.046116
18,0.000000,-0.040424,0.040424
19,0.000000,0.035979,0.035979
20,0.000000,0.054750,0.054750
21,0.000000,0.016065,0.016065
22,0.000000,0.004087,0.004087
23,0.000000,0.059899,0.059899
24,0.000000,0.008173,0.008173
25,-0.000000,-0.011181,0.011181
26,0.000000,0.022065,0.022065
27,0.000000,0.052856,0.052856
28,0.000000,0.008037,0.008037
29,0.000000,-0.000243,0.000243
30,0.000000,0.016146,0.016146
31,0.000000,0.012877,0.012877
32,0.000000,-0.007965,0.007965
33,0.000000,0.012341,0.012341
34,0.000000,-0.016044,0.016044
35,0.000000,0.052427,0.052427
36,0.000000,-0.030650,0.030650
37,0.000000,-0.001479,0.001479
38,0.000000,0.019356,0.019356
39,0.000000,0.039324,0.039324
40,0.000000,0.037851,0.037851
41,0.000000,-0.013477,0.013477
42,0.000000,-0.015985,0.015985
43,0.000000,0.033547,0.033547
44,-1.#QNAN0,0.046122,1.#QNAN0
45,0.000000,-0.004755,0.004755
46,0.000000,0.026424,0.026424
47,0.000000,0.068123,0.068123
48,-1.#QNAN0,0.002753,1.#QNAN0
49,0.000000,-0.006292,0.006292
50,0.000000,-0.015698,0.015698
51,0.000000,0.008481,0.008481
52,0.000000,-0.123290,0.123290
53,0.000000,-0.057966,0.057966
54,0.000000,0.038489,0.038489
55,0.000000,-0.005295,0.005295
56,0.000000,0.048618,0.048618
57,0.000000,0.051771,0.051771
58,0.000000,0.021176,0.021176
59,0.000000,0.021118,0.021118
60,0.000000,-0.024162,0.024162
61,0.000000,0.016255,0.016255
62,0.000000,-0.006744,0.006744
63,0.000000,0.019607,0.019607
64,0.000000,-0.023843,0.023843
65,0.000000,0.036958,0.036958
66,0.000000,0.060991,0.060991
67,0.000000,-0.001601,0.001601
68,0.000000,-0.015653,0.015653
69,0.000000,0.035721,0.035721
