======================================================================================================================================================
C CODE OUTPUT vs GOLDEN REFERENCE - DETAILED COMPARISON
======================================================================================================================================================

Vec   | C Mean       | Golden Mean  | Mean Err%  | C Var        | Golden Var   | Var Err%   | C Std        | Golden Std   | Std Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |     0.032098 |     0.006329 |   407.1832 |     0.752967 |     1.485401 |    49.3088 |     0.867737 |     1.218770 |    28.8023
1     |    -0.014964 |    -0.014929 |     0.2370 |     0.882649 |     0.998401 |    11.5938 |     0.939494 |     0.999200 |     5.9754
2     |     0.002045 |     0.001279 |    59.8943 |     0.859231 |     0.960573 |    10.5502 |     0.926947 |     0.980088 |     5.4221
3     |     0.002081 |     0.002404 |    13.4205 |     0.857584 |     0.954328 |    10.1374 |     0.926058 |     0.976897 |     5.2042
4     |     0.002458 |     0.003352 |    26.6658 |     0.879125 |     0.968946 |     9.2700 |     0.937617 |     0.984350 |     4.7476
5     |    -0.005078 |    -0.005513 |     7.8868 |     0.880806 |     0.970481 |     9.2403 |     0.938513 |     0.985130 |     4.7321
6     |    -0.012649 |    -0.012834 |     1.4397 |     0.877327 |     0.984999 |    10.9312 |     0.936657 |     0.992471 |     5.6238
7     |    -0.018534 |    -0.018545 |     0.0594 |     0.889454 |     0.975688 |     8.8383 |     0.943109 |     0.987769 |     4.5213
8     |    -0.022176 |    -0.021985 |     0.8688 |     0.864622 |     0.965797 |    10.4758 |     0.929851 |     0.982750 |     5.3827
9     |    -0.023791 |    -0.022999 |     3.4421 |     0.828028 |     0.920675 |    10.0629 |     0.909961 |     0.959518 |     5.1648
10    |    -0.018749 |    -0.019052 |     1.5914 |     0.819515 |     0.907718 |     9.7171 |     0.905270 |     0.952743 |     4.9827
11    |    -0.012739 |    -0.012437 |     2.4296 |     0.866827 |     0.966653 |    10.3270 |     0.931035 |     0.983185 |     5.3042
12    |    -0.013367 |    -0.012944 |     3.2678 |     0.805407 |     0.896947 |    10.2057 |     0.897445 |     0.947073 |     5.2401
13    |    -0.010747 |    -0.010783 |     0.3340 |     0.833786 |     0.916759 |     9.0506 |     0.913119 |     0.957475 |     4.6326
14    |    -0.017529 |    -0.017817 |     1.6182 |     0.849037 |     0.953561 |    10.9615 |     0.921432 |     0.976505 |     5.6398
15    |    -0.028689 |    -0.029549 |     2.9089 |     0.860548 |     0.947495 |     9.1765 |     0.927658 |     0.973394 |     4.6986
16    |    -0.001525 |    -0.002161 |    29.4315 |     0.836717 |     0.932841 |    10.3045 |     0.914722 |     0.965837 |     5.2923
