======================================================================================================================================================
PER-VECTOR STATISTICS: Asymmetric + Clip±7.0
======================================================================================================================================================
Method: asymmetric
Clipping: True (threshold: ±7.0)
Global S: 0.0490938448
Global ZP: 143
======================================================================================================================================================

Vec   | Mean_Orig    | Var_Orig     | Std_Orig     | Mean_Recon   | Var_Recon    | Std_Recon    | Mean_Err%  | Var_Err%   | Std_Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |   0.00562331 |   1.48577631 |   1.21892428 |   0.03164252 |   0.84113651 |   0.91713495 | 462.702945 |  43.387406 |  24.758661
1     |  -0.01495490 |   1.00225985 |   1.00112927 |  -0.01492632 |   1.00210694 |   1.00105292 |   0.191138 |   0.015256 |   0.007627
2     |   0.00140604 |   0.96363902 |   0.98165119 |   0.00163007 |   0.96480963 |   0.98224723 |  15.933437 |   0.121478 |   0.060719
3     |   0.00281130 |   0.95178390 |   0.97559410 |   0.00265286 |   0.95097952 |   0.97518179 |   5.635904 |   0.084513 |   0.042263
4     |   0.00275506 |   0.96818012 |   0.98396146 |   0.00255697 |   0.96738346 |   0.98355654 |   7.189905 |   0.082284 |   0.041153
5     |  -0.00568834 |   0.96935707 |   0.98455936 |  -0.00520983 |   0.96872919 |   0.98424041 |   8.412137 |   0.064773 |   0.032395
6     |  -0.01260948 |   0.98402500 |   0.99198031 |  -0.01256112 |   0.98676845 |   0.99336220 |   0.383495 |   0.278799 |   0.139305
7     |  -0.01856028 |   0.97640437 |   0.98813176 |  -0.01866589 |   0.97688404 |   0.98837444 |   0.568979 |   0.049126 |   0.024560
8     |  -0.02180897 |   0.96717209 |   0.98344910 |  -0.02176622 |   0.96789420 |   0.98381614 |   0.196057 |   0.074662 |   0.037322
9     |  -0.02324424 |   0.92006177 |   0.95919847 |  -0.02310863 |   0.92059173 |   0.95947472 |   0.583435 |   0.057601 |   0.028799
10    |  -0.01903322 |   0.90725547 |   0.95249957 |  -0.01936906 |   0.90959514 |   0.95372697 |   1.764455 |   0.257884 |   0.128861
11    |  -0.01254401 |   0.96792197 |   0.98383027 |  -0.01288074 |   0.96460714 |   0.98214416 |   2.684428 |   0.342469 |   0.171383
12    |  -0.01360102 |   0.89627761 |   0.94671941 |  -0.01409530 |   0.89747228 |   0.94735013 |   3.634198 |   0.133293 |   0.066622
13    |  -0.01053792 |   0.91814929 |   0.95820105 |  -0.01019592 |   0.91716640 |   0.95768805 |   3.245432 |   0.107052 |   0.053538
14    |  -0.01779236 |   0.95073217 |   0.97505498 |  -0.01853804 |   0.94612572 |   0.97268994 |   4.191020 |   0.484516 |   0.242554
15    |  -0.02880515 |   0.94669151 |   0.97298074 |  -0.02905358 |   0.94712969 |   0.97320588 |   0.862465 |   0.046285 |   0.023140
16    |  -0.00154819 |   0.93080020 |   0.96477985 |  -0.00041551 |   0.93146858 |   0.96512620 |  73.161667 |   0.071807 |   0.035899
17    |  -0.00051431 |   0.90721458 |   0.95247811 |  -0.00054336 |   0.90628055 |   0.95198769 |   5.647797 |   0.102955 |   0.051489
18    |  -0.01163589 |   0.91466206 |   0.95637965 |  -0.01141048 |   0.91365587 |   0.95585348 |   1.937129 |   0.110007 |   0.055017
19    |  -0.01671521 |   0.93606764 |   0.96750587 |  -0.01623677 |   0.93595374 |   0.96744702 |   2.862335 |   0.012168 |   0.006082
20    |  -0.01678046 |   1.16700077 |   1.08027816 |  -0.01642854 |   1.16496330 |   1.07933466 |   2.097186 |   0.174590 |   0.087339
21    |  -0.02849663 |   1.29031193 |   1.13591897 |  -0.02892574 |   1.28794896 |   1.13487839 |   1.505809 |   0.183132 |   0.091607
22    |  -0.03725299 |   0.93280441 |   0.96581799 |  -0.03835457 |   0.92808293 |   0.96337061 |   2.957018 |   0.506159 |   0.253399
23    |  -0.03520295 |   1.00400174 |   1.00199890 |  -0.03435930 |   1.00372101 |   1.00185878 |   2.396536 |   0.027961 |   0.013985
24    |  -0.02593443 |   0.99419075 |   0.99709117 |  -0.02697604 |   0.99301842 |   0.99650310 |   4.016326 |   0.117918 |   0.058979
25    |  -0.01822011 |   0.98353499 |   0.99173331 |  -0.01860196 |   0.98417588 |   0.99205639 |   2.095767 |   0.065162 |   0.032577
26    |  -0.01701163 |   0.98561591 |   0.99278188 |  -0.01623677 |   0.98577015 |   0.99285958 |   4.554923 |   0.015649 |   0.007827
27    |  -0.01732478 |   0.98472959 |   0.99233544 |  -0.01725955 |   0.98192915 |   0.99092338 |   0.376512 |   0.284387 |   0.142296
28    |  -0.02782285 |   0.91554832 |   0.95684290 |  -0.02809472 |   0.91812629 |   0.95818907 |   0.977138 |   0.281576 |   0.140688
29    |  -0.00904718 |   1.06771159 |   1.03330135 |  -0.00862978 |   1.06587661 |   1.03241301 |   4.613586 |   0.171861 |   0.085972
30    |   0.01924171 |   1.44457817 |   1.20190609 |   0.01821842 |   1.43613494 |   1.19838847 |   5.318112 |   0.584478 |   0.292669
31    |   0.01964948 |   1.27230084 |   1.12796319 |   0.01821842 |   1.26779243 |   1.12596289 |   7.282926 |   0.354351 |   0.177337
32    |   0.02066037 |   1.64044702 |   1.28079939 |   0.01949690 |   1.63220621 |   1.27757826 |   5.631365 |   0.502351 |   0.251494
33    |  -0.03786861 |   1.18430984 |   1.08826005 |  -0.03877007 |   1.18574400 |   1.08891873 |   2.380501 |   0.121096 |   0.060525
