======================================================================================================================================================
PER-VECTOR STATISTICS: Asymmetric + NoClip
======================================================================================================================================================
Method: asymmetric
Clipping: False (threshold: ±N/A)
Global S: 0.0891183217
Global ZP: 193
======================================================================================================================================================

Vec   | Mean_Orig    | Var_Orig     | Std_Orig     | Mean_Recon   | Var_Recon    | Std_Recon    | Mean_Err%  | Var_Err%   | Std_Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |   0.00562331 |   1.48577631 |   1.21892428 |  -0.00928316 |   1.39893158 |   1.18276438 | 265.083600 |   5.845074 |   2.966542
1     |  -0.01495490 |   1.00225985 |   1.00112927 |  -0.02181542 |   0.97929166 |   0.98959166 |  45.874716 |   2.291640 |   1.152459
2     |   0.00140604 |   0.96363902 |   0.98165119 |  -0.00440950 |   0.94091353 |   0.97000697 | 413.611574 |   2.358299 |   1.186186
3     |   0.00281130 |   0.95178390 |   0.97559410 |  -0.00084129 |   0.93451520 |   0.96670326 | 129.925172 |   1.814350 |   0.911326
4     |   0.00275506 |   0.96818012 |   0.98396146 |   0.00200168 |   0.96426818 |   0.98197158 |  27.345205 |   0.404050 |   0.202232
5     |  -0.00568834 |   0.96935707 |   0.98455936 |  -0.00844187 |   0.95215984 |   0.97578678 |  48.406619 |   1.774087 |   0.891016
6     |  -0.01260948 |   0.98402500 |   0.99198031 |  -0.01839226 |   0.95697523 |   0.97825111 |  45.860590 |   2.748891 |   1.384020
7     |  -0.01856028 |   0.97640437 |   0.98813176 |  -0.02451334 |   0.95199538 |   0.97570250 |  32.074161 |   2.499886 |   1.257854
8     |  -0.02180897 |   0.96717209 |   0.98344910 |  -0.03133066 |   0.93043871 |   0.96459251 |  43.659483 |   3.798019 |   1.917394
9     |  -0.02324424 |   0.92006177 |   0.95919847 |  -0.03324531 |   0.88566223 |   0.94109629 |  43.026013 |   3.738830 |   1.887220
10    |  -0.01903322 |   0.90725547 |   0.95249957 |  -0.02863274 |   0.87344928 |   0.93458508 |  50.435591 |   3.726204 |   1.880787
11    |  -0.01254401 |   0.96792197 |   0.98383027 |  -0.02326592 |   0.93093460 |   0.96484952 |  85.474354 |   3.821317 |   1.929271
12    |  -0.01360102 |   0.89627761 |   0.94671941 |  -0.01816018 |   0.87969842 |   0.93792240 |  33.520759 |   1.849782 |   0.929210
13    |  -0.01053792 |   0.91814929 |   0.95820105 |  -0.01688374 |   0.89822813 |   0.94774898 |  60.218897 |   2.169708 |   1.090801
14    |  -0.01779236 |   0.95073217 |   0.97505498 |  -0.02480344 |   0.92457677 |   0.96154915 |  39.405006 |   2.751080 |   1.385135
15    |  -0.02880515 |   0.94669151 |   0.97298074 |  -0.03626234 |   0.91898012 |   0.95863451 |  25.888386 |   2.927183 |   1.474462
16    |  -0.00154819 |   0.93080020 |   0.96477985 |  -0.00417742 |   0.91769038 |   0.95796158 | 169.826523 |   1.408446 |   0.706719
17    |  -0.00051431 |   0.90721458 |   0.95247811 |  -0.00272693 |   0.89637223 |   0.94676936 | 430.211737 |   1.195126 |   0.599357
18    |  -0.01163589 |   0.91466206 |   0.95637965 |  -0.01259028 |   0.91028653 |   0.95408937 |   8.202196 |   0.478377 |   0.239474
19    |  -0.01671521 |   0.93606764 |   0.96750587 |  -0.02068404 |   0.92333383 |   0.96090261 |  23.743796 |   1.360351 |   0.682503
20    |  -0.01678046 |   1.16700077 |   1.08027816 |  -0.03106957 |   1.11719428 |   1.05697411 |  85.153313 |   4.267906 |   2.157226
21    |  -0.02849663 |   1.29031193 |   1.13591897 |  -0.05221777 |   1.19825107 |   1.09464655 |  83.241898 |   7.134776 |   3.633395
22    |  -0.03725299 |   0.93280441 |   0.96581799 |  -0.04464619 |   0.90551776 |   0.95158697 |  19.845929 |   2.925227 |   1.473468
23    |  -0.03520295 |   1.00400174 |   1.00199890 |  -0.04415302 |   0.97181952 |   0.98580907 |  25.424211 |   3.205395 |   1.615754
24    |  -0.02593443 |   0.99419075 |   0.99709117 |  -0.03286818 |   0.96952847 |   0.98464637 |  26.735689 |   2.480639 |   1.248111
25    |  -0.01822011 |   0.98353499 |   0.99173331 |  -0.02323691 |   0.96901209 |   0.98438412 |  27.534365 |   1.476603 |   0.741046
26    |  -0.01701163 |   0.98561591 |   0.99278188 |  -0.02373007 |   0.96381410 |   0.98174034 |  39.493215 |   2.211998 |   1.112181
27    |  -0.01732478 |   0.98472959 |   0.99233544 |  -0.03048937 |   0.93377180 |   0.96631869 |  75.987028 |   5.174800 |   2.621770
28    |  -0.02782285 |   0.91554832 |   0.95684290 |  -0.03646541 |   0.88131967 |   0.93878628 |  31.062793 |   3.738596 |   1.887104
29    |  -0.00904718 |   1.06771159 |   1.03330135 |  -0.01656464 |   1.04048681 |   1.02004255 |  83.091770 |   2.549825 |   1.283149
30    |   0.01924171 |   1.44457817 |   1.20190609 |  -0.00438049 |   1.34613898 |   1.16023230 | 122.765593 |   6.814390 |   3.467308
31    |   0.01964948 |   1.27230084 |   1.12796319 |   0.00733950 |   1.22326583 |   1.10601349 |  62.647873 |   3.854042 |   1.945959
32    |   0.02066037 |   1.64044702 |   1.28079939 |  -0.01949463 |   1.44058697 |   1.20024455 | 194.357640 |  12.183267 |   6.289419
33    |  -0.03786861 |   1.18430984 |   1.08826005 |  -0.03962748 |   1.17710395 |   1.08494422 |   4.644668 |   0.608446 |   0.304692
34    |  -0.01147596 |   1.18678224 |   1.08939540 |  -0.02268572 |   1.15590852 |   1.07513186 |  97.680312 |   2.601464 |   1.309308
35    |  -0.02785145 |   1.02979898 |   1.01479018 |  -0.03713263 |   1.00113302 |   1.00056635 |  33.323893 |   2.783647 |   1.401652
36    |  -0.00460052 |   1.15324295 |   1.07389152 |  -0.01203910 |   1.12848710 |   1.06230274 | 161.689966 |   2.146629 |   1.079139
37    |  -0.00245756 |   1.14672625 |   1.07085299 |  -0.01752196 |   1.09028185 |   1.04416562 | 612.980891 |   4.922221 |   2.492160
38    |  -0.02174056 |   0.98177528 |   0.99084574 |  -0.03115660 |   0.94122581 |   0.97016793 |  43.310930 |   4.130220 |   2.086885
39    |  -0.01247728 |   0.97119141 |   0.98549044 |  -0.02094513 |   0.93700540 |   0.96799039 |  67.866079 |   3.520007 |   1.775771
40    |  -0.00011335 |   1.08287489 |   1.04061270 |  -0.01192306 |   1.03418485 |   1.01694879 | 10419.082477 |   4.496369 |   2.274036
41    |  -0.02529470 |   1.05055916 |   1.02496791 |  -0.03942441 |   1.00530961 |   1.00265129 |  55.860392 |   4.307187 |   2.177299
42    |   0.00627796 |   1.23828232 |   1.11278129 |  -0.01891444 |   1.13598077 |   1.06582399 | 401.283336 |   8.261569 |   4.219814
43    |   0.00498932 |   1.14290333 |   1.06906652 |  -0.00571494 |   1.09128494 |   1.04464585 | 214.543588 |   4.516426 |   2.284299
44    |   0.01394528 |   1.77059519 |   1.33063710 |  -0.02605086 |   1.59697825 |   1.26371605 | 286.807728 |   9.805570 |   5.029249
