======================================================================================================================================================
PER-VECTOR STATISTICS: Symmetric_Corrected + Clip±7.0
======================================================================================================================================================
Method: symmetric_corrected
Clipping: True (threshold: ±7.0)
Global S: 0.0551181102
Global ZP: 141
======================================================================================================================================================

Vec   | Mean_Orig    | Var_Orig     | Std_Orig     | Mean_Recon   | Var_Recon    | Std_Recon    | Mean_Err%  | Var_Err%   | Std_Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |   0.00562331 |   1.48577631 |   1.21892428 |   0.03209840 |   0.84278095 |   0.91803102 | 470.810051 |  43.276727 |  24.685148
1     |  -0.01495490 |   1.00225985 |   1.00112927 |  -0.01496371 |   1.00214453 |   1.00107169 |   0.058861 |   0.011506 |   0.005751
2     |   0.00140604 |   0.96363902 |   0.98165119 |   0.00204540 |   0.96469576 |   0.98218927 |  45.472421 |   0.109661 |   0.054814
3     |   0.00281130 |   0.95178390 |   0.97559410 |   0.00208128 |   0.95060972 |   0.97499217 |  25.967237 |   0.123365 |   0.061700
4     |   0.00275506 |   0.96818012 |   0.98396146 |   0.00245807 |   0.96884359 |   0.98429853 |  10.779824 |   0.068528 |   0.034256
5     |  -0.00568834 |   0.96935707 |   0.98455936 |  -0.00507761 |   0.96808462 |   0.98391291 |  10.736474 |   0.131268 |   0.065658
6     |  -0.01260948 |   0.98402500 |   0.99198031 |  -0.01264918 |   0.98233346 |   0.99112737 |   0.314831 |   0.171900 |   0.085984
7     |  -0.01856028 |   0.97640437 |   0.98813176 |  -0.01853418 |   0.97690365 |   0.98838436 |   0.140636 |   0.051135 |   0.025564
8     |  -0.02180897 |   0.96717209 |   0.98344910 |  -0.02217643 |   0.96646242 |   0.98308821 |   1.684869 |   0.073375 |   0.036697
9     |  -0.02324424 |   0.92006177 |   0.95919847 |  -0.02379122 |   0.92071179 |   0.95953728 |   2.353160 |   0.070650 |   0.035322
10    |  -0.01903322 |   0.90725547 |   0.95249957 |  -0.01874949 |   0.90788631 |   0.95283068 |   1.490741 |   0.069532 |   0.034763
11    |  -0.01254401 |   0.96792197 |   0.98383027 |  -0.01273889 |   0.96858339 |   0.98416634 |   1.553563 |   0.068334 |   0.034159
12    |  -0.01360102 |   0.89627761 |   0.94671941 |  -0.01336686 |   0.89842152 |   0.94785100 |   1.721606 |   0.239202 |   0.119528
13    |  -0.01053792 |   0.91814929 |   0.95820105 |  -0.01074731 |   0.91666624 |   0.95742689 |   1.987019 |   0.161526 |   0.080793
14    |  -0.01779236 |   0.95073217 |   0.97505498 |  -0.01752943 |   0.94917852 |   0.97425794 |   1.477791 |   0.163416 |   0.081744
15    |  -0.02880515 |   0.94669151 |   0.97298074 |  -0.02926355 |   0.94395426 |   0.97157309 |   1.591397 |   0.289139 |   0.144674
16    |  -0.00154819 |   0.93080020 |   0.96477985 |  -0.00152508 |   0.93175090 |   0.96527245 |   1.492706 |   0.102138 |   0.051058
17    |  -0.00051431 |   0.90721458 |   0.95247811 |  -0.00064592 |   0.90876392 |   0.95329110 |  25.588914 |   0.170779 |   0.085355
18    |  -0.01163589 |   0.91466206 |   0.95637965 |  -0.01155471 |   0.91543568 |   0.95678403 |   0.697648 |   0.084580 |   0.042282
19    |  -0.01671521 |   0.93606764 |   0.96750587 |  -0.01715264 |   0.93586162 |   0.96739941 |   2.616953 |   0.022009 |   0.011004
20    |  -0.01678046 |   1.16700077 |   1.08027816 |  -0.01735000 |   1.16466466 |   1.07919630 |   3.394113 |   0.200181 |   0.100146
21    |  -0.02849663 |   1.29031193 |   1.13591897 |  -0.02888677 |   1.28711053 |   1.13450894 |   1.369072 |   0.248111 |   0.124132
22    |  -0.03725299 |   0.93280441 |   0.96581799 |  -0.03739132 |   0.93415645 |   0.96651769 |   0.371335 |   0.144944 |   0.072447
23    |  -0.03520295 |   1.00400174 |   1.00199890 |  -0.03502297 |   1.00266529 |   1.00133176 |   0.511276 |   0.133112 |   0.066581
24    |  -0.02593443 |   0.99419075 |   0.99709117 |  -0.02580073 |   0.99498791 |   0.99749080 |   0.515545 |   0.080181 |   0.040080
25    |  -0.01822011 |   0.98353499 |   0.99173331 |  -0.01835476 |   0.98427931 |   0.99210852 |   0.739006 |   0.075678 |   0.037833
26    |  -0.01701163 |   0.98561591 |   0.99278188 |  -0.01679380 |   0.98546292 |   0.99270485 |   1.280500 |   0.015522 |   0.007758
27    |  -0.01732478 |   0.98472959 |   0.99233544 |  -0.01715264 |   0.98459630 |   0.99226826 |   0.993627 |   0.013535 |   0.006770
28    |  -0.02782285 |   0.91554832 |   0.95684290 |  -0.02917384 |   0.91270214 |   0.95535446 |   4.855690 |   0.310873 |   0.155558
29    |  -0.00904718 |   1.06771159 |   1.03330135 |  -0.00854044 |   1.06604666 |   1.03249536 |   5.601088 |   0.155934 |   0.078002
30    |   0.01924171 |   1.44457817 |   1.20190609 |   0.01961071 |   1.44382746 |   1.20159372 |   1.917672 |   0.051967 |   0.025989
31    |   0.01964948 |   1.27230084 |   1.12796319 |   0.02000543 |   1.27330324 |   1.12840739 |   1.811540 |   0.078786 |   0.039381
32    |   0.02066037 |   1.64044702 |   1.28079939 |   0.01891097 |   1.62816939 |   1.27599741 |   8.467415 |   0.748432 |   0.374920
33    |  -0.03786861 |   1.18430984 |   1.08826005 |  -0.03879081 |   1.18400742 |   1.08812105 |   2.435246 |   0.025535 |   0.012773
34    |  -0.01147596 |   1.18678224 |   1.08939540 |  -0.01139323 |   1.18607522 |   1.08907080 |   0.720928 |   0.059575 |   0.029796
35    |  -0.02785145 |   1.02979898 |   1.01479018 |  -0.02743346 |   1.02999097 |   1.01488471 |   1.500773 |   0.018643 |   0.009315
36    |  -0.00460052 |   1.15324295 |   1.07389152 |  -0.00507761 |   1.15329075 |   1.07391375 |  10.370429 |   0.004145 |   0.002070
37    |  -0.00245756 |   1.14672625 |   1.07085299 |  -0.00217099 |   1.14683084 |   1.07090188 |  11.660763 |   0.009120 |   0.004565
38    |  -0.02174056 |   0.98177528 |   0.99084574 |  -0.02181759 |   0.98205491 |   0.99098684 |   0.354287 |   0.028482 |   0.014240
39    |  -0.01247728 |   0.97119141 |   0.98549044 |  -0.01290036 |   0.97283773 |   0.98632537 |   3.390815 |   0.169515 |   0.084722
40    |  -0.00011335 |   1.08287489 |   1.04061270 |  -0.00021531 |   1.08081413 |   1.03962211 |  89.952321 |   0.190305 |   0.095193
41    |  -0.02529470 |   1.05055916 |   1.02496791 |  -0.02554954 |   1.05054183 |   1.02495943 |   1.007499 |   0.001650 |   0.000828
42    |   0.00627796 |   1.23828232 |   1.11278129 |   0.00610031 |   1.23281967 |   1.11032413 |   2.829653 |   0.441148 |   0.220812
43    |   0.00498932 |   1.14290333 |   1.06906652 |   0.00416257 |   1.14664998 |   1.07081744 |  16.570458 |   0.327819 |   0.163779
44    |   0.01394528 |   1.77059519 |   1.33063710 |   0.01408454 |   1.77108291 |   1.33082039 |   0.998629 |   0.027545 |   0.013775
45    |   0.00261342 |   1.56660903 |   1.25164258 |   0.00179421 |   1.56412192 |   1.25064860 |  31.346379 |   0.158757 |   0.079414
46    |  -0.01093883 |   1.18346250 |   1.08787060 |  -0.01112410 |   1.18355146 |   1.08791151 |   1.693699 |   0.007517 |   0.003761
