======================================================================================================================================================
PER-VECTOR STATISTICS: Symmetric_Corrected + NoClip
======================================================================================================================================================
Method: symmetric_corrected
Clipping: False (threshold: ±N/A)
Global S: 0.1354822174
Global ZP: 171
======================================================================================================================================================

Vec   | Mean_Orig    | Var_Orig     | Std_Orig     | Mean_Recon   | Var_Recon    | Std_Recon    | Mean_Err%  | Var_Err%   | Std_Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |   0.00562331 |   1.48577631 |   1.21892428 |   0.00535843 |   1.47953007 |   1.21635935 |   4.710395 |   0.420402 |   0.210426
1     |  -0.01495490 |   1.00225985 |   1.00112927 |  -0.01607528 |   0.99470160 |   0.99734728 |   7.491720 |   0.754121 |   0.377772
2     |   0.00140604 |   0.96363902 |   0.98165119 |   0.00127897 |   0.96057312 |   0.98008832 |   9.037625 |   0.318158 |   0.159207
3     |   0.00281130 |   0.95178390 |   0.97559410 |   0.00240357 |   0.95432820 |   0.97689723 |  14.503084 |   0.267320 |   0.133573
4     |   0.00275506 |   0.96818012 |   0.98396146 |   0.00282255 |   0.96733581 |   0.98353231 |   2.449645 |   0.087206 |   0.043615
5     |  -0.00568834 |   0.96935707 |   0.98455936 |  -0.00613022 |   0.96864237 |   0.98419631 |   7.768138 |   0.073730 |   0.036874
6     |  -0.01260948 |   0.98402500 |   0.99198031 |  -0.01450965 |   0.97786224 |   0.98886917 |  15.069415 |   0.626281 |   0.313630
7     |  -0.01856028 |   0.97640437 |   0.98813176 |  -0.02185268 |   0.96071732 |   0.98016189 |  17.738936 |   1.606614 |   0.806560
8     |  -0.02180897 |   0.96717209 |   0.98344910 |  -0.02630701 |   0.94651142 |   0.97288818 |  20.624712 |   2.136194 |   1.073865
9     |  -0.02324424 |   0.92006177 |   0.95919847 |  -0.02595419 |   0.90754996 |   0.95265416 |  11.658600 |   1.359888 |   0.682269
10    |  -0.01903322 |   0.90725547 |   0.95249957 |  -0.02099269 |   0.89938772 |   0.94836054 |  10.294966 |   0.867204 |   0.434544
11    |  -0.01254401 |   0.96792197 |   0.98383027 |  -0.01543580 |   0.95423221 |   0.97684810 |  23.053180 |   1.414346 |   0.709693
12    |  -0.01360102 |   0.89627761 |   0.94671941 |  -0.01329684 |   0.89515107 |   0.94612423 |   2.236426 |   0.125691 |   0.062867
13    |  -0.01053792 |   0.91814929 |   0.95820105 |  -0.01201787 |   0.91141249 |   0.95467926 |  14.044030 |   0.733737 |   0.367542
14    |  -0.01779236 |   0.95073217 |   0.97505498 |  -0.01918449 |   0.94734387 |   0.97331592 |   7.824340 |   0.356388 |   0.178355
15    |  -0.02880515 |   0.94669151 |   0.97298074 |  -0.03087160 |   0.93921458 |   0.96913084 |   7.173888 |   0.789796 |   0.395681
16    |  -0.00154819 |   0.93080020 |   0.96477985 |  -0.00277844 |   0.92917848 |   0.96393904 |  79.464268 |   0.174229 |   0.087151
17    |  -0.00051431 |   0.90721458 |   0.95247811 |  -0.00125692 |   0.90441065 |   0.95100507 | 144.388992 |   0.309071 |   0.154653
18    |  -0.01163589 |   0.91466206 |   0.95637965 |  -0.01287787 |   0.91345155 |   0.95574659 |  10.673717 |   0.132345 |   0.066193
19    |  -0.01671521 |   0.93606764 |   0.96750587 |  -0.01759681 |   0.93313976 |   0.96599160 |   5.274236 |   0.312785 |   0.156513
20    |  -0.01678046 |   1.16700077 |   1.08027816 |  -0.02176448 |   1.15210582 |   1.07336192 |  29.701342 |   1.276345 |   0.640227
21    |  -0.02849663 |   1.29031193 |   1.13591897 |  -0.03301056 |   1.27071273 |   1.12725895 |  15.840221 |   1.518951 |   0.762381
22    |  -0.03725299 |   0.93280441 |   0.96581799 |  -0.03916283 |   0.92352892 |   0.96100412 |   5.126675 |   0.994366 |   0.498424
23    |  -0.03520295 |   1.00400174 |   1.00199890 |  -0.03645054 |   0.99487717 |   0.99743530 |   3.543986 |   0.908820 |   0.455450
24    |  -0.02593443 |   0.99419075 |   0.99709117 |  -0.02718906 |   0.99109057 |   0.99553532 |   4.837679 |   0.311829 |   0.156039
25    |  -0.01822011 |   0.98353499 |   0.99173331 |  -0.01940501 |   0.97587606 |   0.98786439 |   6.503206 |   0.778715 |   0.390117
26    |  -0.01701163 |   0.98561591 |   0.99278188 |  -0.01770707 |   0.98394511 |   0.99194007 |   4.087991 |   0.169518 |   0.084792
27    |  -0.01732478 |   0.98472959 |   0.99233544 |  -0.02039731 |   0.96730807 |   0.98351821 |  17.734833 |   1.769167 |   0.888533
