======================================================================================================================================================
PER-VECTOR STATISTICS: Symmetric_Fixed_ZP128 + NoClip
======================================================================================================================================================
Method: symmetric_fixed
Clipping: False (threshold: ±N/A)
Global S: 0.1354822174
Global ZP: 128
======================================================================================================================================================

Vec   | Mean_Orig    | Var_Orig     | Std_Orig     | Mean_Recon   | Var_Recon    | Std_Recon    | Mean_Err%  | Var_Err%   | Std_Err%  
------------------------------------------------------------------------------------------------------------------------------------------------------
0     |   0.00562331 |   1.48577631 |   1.21892428 |   0.00632868 |   1.48540119 |   1.21877036 |  12.543690 |   0.025247 |   0.012628
1     |  -0.01495490 |   1.00225985 |   1.00112927 |  -0.01492862 |   0.99840136 |   0.99920036 |   0.175728 |   0.384979 |   0.192673
2     |   0.00140604 |   0.96363902 |   0.98165119 |   0.00127897 |   0.96057312 |   0.98008832 |   9.037625 |   0.318158 |   0.159207
3     |   0.00281130 |   0.95178390 |   0.97559410 |   0.00240357 |   0.95432820 |   0.97689723 |  14.503084 |   0.267320 |   0.133573
4     |   0.00275506 |   0.96818012 |   0.98396146 |   0.00335177 |   0.96894581 |   0.98435045 |  21.658954 |   0.079085 |   0.039533
5     |  -0.00568834 |   0.96935707 |   0.98455936 |  -0.00551279 |   0.97048092 |   0.98512990 |   3.086207 |   0.115937 |   0.057949
6     |  -0.01260948 |   0.98402500 |   0.99198031 |  -0.01283376 |   0.98499898 |   0.99247115 |   1.778722 |   0.098979 |   0.049480
7     |  -0.01856028 |   0.97640437 |   0.98813176 |  -0.01854501 |   0.97568780 |   0.98776910 |   0.082295 |   0.073388 |   0.036701
8     |  -0.02180897 |   0.96717209 |   0.98344910 |  -0.02198499 |   0.96579706 |   0.98274974 |   0.807073 |   0.142170 |   0.071113
9     |  -0.02324424 |   0.92006177 |   0.95919847 |  -0.02299934 |   0.92067471 |   0.95951796 |   1.053594 |   0.066620 |   0.033307
10    |  -0.01903322 |   0.90725547 |   0.95249957 |  -0.01905219 |   0.90771850 |   0.95274262 |   0.099633 |   0.051036 |   0.025517
11    |  -0.01254401 |   0.96792197 |   0.98383027 |  -0.01243684 |   0.96665284 |   0.98318505 |   0.854295 |   0.131120 |   0.065583
12    |  -0.01360102 |   0.89627761 |   0.94671941 |  -0.01294402 |   0.89694687 |   0.94707279 |   4.830484 |   0.074672 |   0.037327
13    |  -0.01053792 |   0.91814929 |   0.95820105 |  -0.01078301 |   0.91675847 |   0.95747505 |   2.325745 |   0.151481 |   0.075767
14    |  -0.01779236 |   0.95073217 |   0.97505498 |  -0.01781732 |   0.95356148 |   0.97650473 |   0.140307 |   0.297593 |   0.148684
15    |  -0.02880515 |   0.94669151 |   0.97298074 |  -0.02954853 |   0.94749531 |   0.97339371 |   2.580722 |   0.084906 |   0.042444
16    |  -0.00154819 |   0.93080020 |   0.96477985 |  -0.00216101 |   0.93284126 |   0.96583708 |  39.583319 |   0.219280 |   0.109582
17    |  -0.00051431 |   0.90721458 |   0.95247811 |  -0.00037487 |   0.90972990 |   0.95379762 |  27.112055 |   0.277258 |   0.138535
18    |  -0.01163589 |   0.91466206 |   0.95637965 |  -0.01221633 |   0.91546457 |   0.95679913 |   4.988423 |   0.087738 |   0.043861
19    |  -0.01671521 |   0.93606764 |   0.96750587 |  -0.01667066 |   0.93592526 |   0.96743230 |   0.266514 |   0.015210 |   0.007604
20    |  -0.01678046 |   1.16700077 |   1.08027816 |  -0.01708964 |   1.16834397 |   1.08089961 |   1.842492 |   0.115099 |   0.057527
21    |  -0.02849663 |   1.29031193 |   1.13591897 |  -0.02917366 |   1.29025754 |   1.13589504 |   2.375827 |   0.004216 |   0.002107
22    |  -0.03725299 |   0.93280441 |   0.96581799 |  -0.03726643 |   0.93273880 |   0.96578403 |   0.036082 |   0.007034 |   0.003516
23    |  -0.03520295 |   1.00400174 |   1.00199890 |  -0.03402491 |   1.00337812 |   1.00168764 |   3.346418 |   0.062113 |   0.031064
24    |  -0.02593443 |   0.99419075 |   0.99709117 |  -0.02665983 |   0.99420819 |   0.99709989 |   2.797043 |   0.001754 |   0.000874
25    |  -0.01822011 |   0.98353499 |   0.99173331 |  -0.01834655 |   0.98236910 |   0.99114535 |   0.693940 |   0.118541 |   0.059287
26    |  -0.01701163 |   0.98561591 |   0.99278188 |  -0.01735425 |   0.98601291 |   0.99298183 |   2.014008 |   0.040279 |   0.020140
