| ID   | Mean (Gold) | Mean (C) | Mean Err% | Var (Gold) | Var (C)  | Var Err% | Y MAE (%) |
|------|-------------|----------|-----------|------------|----------|----------|-----------|
| 0    |      0.0056 |   0.0324 |   476.58% |     1.4858 |   0.8547 |   42.48% |     7.36% |
| 1    |     -0.0453 |  -0.0449 |     0.90% |     0.8820 |   0.8856 |    0.41% |     2.18% |
| 2    |     -0.0378 |  -0.0380 |     0.57% |     0.8392 |   0.8420 |    0.33% |     2.81% |
| 3    |     -0.0228 |  -0.0233 |     1.85% |     0.8217 |   0.8356 |    1.69% |     2.37% |
| 4    |     -0.0231 |  -0.0235 |     1.50% |     0.8323 |   0.8463 |    1.69% |     2.61% |
| 5    |     -0.0317 |  -0.0315 |     0.77% |     0.8334 |   0.8446 |    1.34% |     2.77% |
| 6    |     -0.0364 |  -0.0367 |     0.69% |     0.8478 |   0.8591 |    1.34% |     2.78% |
| 7    |     -0.0366 |  -0.0364 |     0.57% |     0.8516 |   0.8666 |    1.77% |     2.80% |
| 8    |     -0.0361 |  -0.0363 |     0.66% |     0.8549 |   0.8665 |    1.36% |     2.93% |
| 9    |     -0.0329 |  -0.0327 |     0.43% |     0.8429 |   0.8423 |    0.07% |     2.80% |
| 10   |     -0.0274 |  -0.0275 |     0.37% |     0.8399 |   0.8621 |    2.65% |     2.90% |
| 11   |     -0.0267 |  -0.0267 |     0.06% |     0.8640 |   0.8860 |    2.54% |     2.13% |
| 12   |     -0.0208 |  -0.0204 |     1.92% |     0.8534 |   0.8677 |    1.68% |     3.17% |
| 13   |     -0.0367 |  -0.0374 |     1.79% |     0.9061 |   0.9277 |    2.39% |     2.88% |
| 14   |     -0.0383 |  -0.0396 |     3.44% |     0.9213 |   0.9311 |    1.07% |     2.67% |
| 15   |     -0.0458 |  -0.0457 |     0.30% |     0.8214 |   0.8284 |    0.86% |     2.54% |
| 16   |     -0.0315 |  -0.0316 |     0.55% |     0.8188 |   0.8265 |    0.94% |     2.67% |
| 17   |     -0.0225 |  -0.0226 |     0.42% |     0.8114 |   0.8195 |    1.00% |     2.36% |
| 18   |     -0.0275 |  -0.0281 |     2.01% |     0.8356 |   0.8531 |    2.10% |     2.80% |
| 19   |     -0.0292 |  -0.0294 |     0.46% |     0.8243 |   0.8469 |    2.73% |     2.65% |
| 20   |     -0.0484 |  -0.0487 |     0.64% |     0.9253 |   0.9288 |    0.39% |     3.38% |
| 21   |     -0.0824 |  -0.0821 |     0.33% |     1.0887 |   1.1020 |    1.22% |     4.86% |
| 22   |     -0.0879 |  -0.0874 |     0.48% |     0.9739 |   0.9918 |    1.84% |     3.73% |
| 23   |     -0.0551 |  -0.0551 |     0.15% |     1.0338 |   1.0386 |    0.46% |     5.05% |
| 24   |     -0.0226 |  -0.0230 |     1.56% |     0.8854 |   0.9179 |    3.67% |     2.89% |
| 25   |     -0.0184 |  -0.0184 |     0.22% |     0.9513 |   0.9806 |    3.07% |     3.41% |
| 26   |     -0.0140 |  -0.0139 |     0.54% |     0.9063 |   0.9203 |    1.54% |     3.35% |
| 27   |     -0.0311 |  -0.0311 |     0.08% |     0.8815 |   0.8803 |    0.13% |     2.61% |
| 28   |     -0.0311 |  -0.0316 |     1.57% |     0.9162 |   0.9332 |    1.86% |     4.00% |
| 29   |     -0.0426 |  -0.0429 |     0.52% |     0.8244 |   0.8520 |    3.35% |     2.57% |
| 30   |     -0.0284 |  -0.0282 |     0.60% |     0.8379 |   0.8649 |    3.22% |     2.73% |
| 31   |     -0.0287 |  -0.0286 |     0.52% |     0.8383 |   0.8501 |    1.41% |     2.76% |
| 32   |     -0.0311 |  -0.0312 |     0.24% |     0.8734 |   0.8850 |    1.33% |     2.13% |
| 33   |     -0.0332 |  -0.0341 |     2.64% |     0.8936 |   0.8805 |    1.46% |     2.46% |
| 34   |     -0.0403 |  -0.0402 |     0.13% |     0.9605 |   0.9607 |    0.02% |     3.73% |
| 35   |     -0.0985 |  -0.0990 |     0.51% |     1.0906 |   1.0913 |    0.07% |     4.50% |
| 36   |     -0.0741 |  -0.0746 |     0.70% |     1.0494 |   1.0413 |    0.77% |     5.72% |
| 37   |     -0.0397 |  -0.0403 |     1.48% |     1.0846 |   1.1024 |    1.64% |     4.68% |
| 38   |     -0.0141 |  -0.0140 |     0.93% |     0.9044 |   0.9156 |    1.24% |     2.85% |
| 39   |     -0.0250 |  -0.0249 |     0.66% |     0.9398 |   0.9437 |    0.42% |     3.74% |
| 40   |     -0.0346 |  -0.0344 |     0.53% |     0.9098 |   0.9246 |    1.63% |     3.17% |
| 41   |     -0.0326 |  -0.0317 |     2.84% |     0.8999 |   0.9029 |    0.34% |     3.13% |
| 42   |     -0.0220 |  -0.0215 |     2.41% |     1.0002 |   1.0235 |    2.33% |     4.95% |
| 43   |     -0.0310 |  -0.0309 |     0.32% |     0.8327 |   0.8444 |    1.41% |     2.74% |
| 44   |     -0.0252 |  -0.0250 |     0.61% |     0.9168 |   0.9485 |    3.45% |     2.83% |
| 45   |     -0.0320 |  -0.0318 |     0.63% |     0.8726 |   0.8693 |    0.38% |     3.20% |
| 46   |     -0.0277 |  -0.0280 |     1.01% |     0.9362 |   0.9440 |    0.84% |     2.88% |
